kpi,settimana,mese,trimestre,semestre,anno,userid,indicatorsprev,indicatorscons
VSDPersonale,42,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,42,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,41,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,41,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,40,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDPersonale,40,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,38,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,38,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,38,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,37,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,37,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,37,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,36,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,36,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDPersonale,35,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,34,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,300.0,300.0
VSDPersonale,34,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,34,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,600.0,600.0
VSDPersonale,32,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,32,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDPersonale,31,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1500.0,1500.0
VSDPersonale,31,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,30,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,30,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,29,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDPersonale,28,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,0.0,0.0
VSDPersonale,28,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDPersonale,28,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,27,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,400.0,400.0
VSDPersonale,27,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,25,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,21,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,21,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,21,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,18,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,400.0,400.0
VSDPersonale,18,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,17,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,17,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,17,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,400.0,400.0
VSDPersonale,16,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,16,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSDPersonale,16,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1400.0,1400.0
VSDPersonale,13,3,1,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,13,3,1,1,2024,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,9,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDIndiretto,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDIndiretto,28,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSDIndiretto,25,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDIndiretto,25,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDIndiretto,21,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDIndiretto,19,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,19,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSDIndiretto,17,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDIndiretto,14,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,12,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDIndiretto,12,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSDIndiretto,12,3,1,1,2025,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSDIndiretto,9,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1800.0,1800.0
VSDIndiretto,9,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,900.0,900.0
VSDIndiretto,4,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDIndiretto,4,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDIndiretto,47,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDIndiretto,47,11,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
